id,start_utc,duration_minutes,home,away,matchup,event_name,short_name,venue,city,country,broadcasts,source_url
760428,2026-06-15T16:00Z,120,Spain,Cape Verde,Spain vs Cape Verde,Cape Verde at Spain,CPV @ ESP,Mercedes-Benz Stadium,"Atlanta, Georgia",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760428/cape-verde-spain
760426,2026-06-15T19:00Z,120,Belgium,Egypt,Belgium vs Egypt,Egypt at Belgium,EGY @ BEL,Lumen Field,"Seattle, Washington",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760426/egypt-belgium
760429,2026-06-15T22:00Z,120,Saudi Arabia,Uruguay,Saudi Arabia vs Uruguay,Uruguay at Saudi Arabia,URU @ KSA,Hard Rock Stadium,"Miami Gardens, Florida",USA,"FS1, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760429/uruguay-saudi-arabia
760427,2026-06-16T01:00Z,120,Iran,New Zealand,Iran vs New Zealand,New Zealand at Iran,NZL @ IRN,SoFi Stadium,"Inglewood, California",USA,"FS1, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760427/new-zealand-iran
760432,2026-06-16T19:00Z,120,France,Senegal,France vs Senegal,Senegal at France,SEN @ FRA,MetLife Stadium,"East Rutherford, New Jersey",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760432/senegal-france
760430,2026-06-16T22:00Z,120,Iraq,Norway,Iraq vs Norway,Norway at Iraq,NOR @ IRQ,Gillette Stadium,"Foxborough, Massachusetts",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760430/norway-iraq
760433,2026-06-17T01:00Z,120,Argentina,Algeria,Argentina vs Algeria,Algeria at Argentina,ALG @ ARG,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760433/algeria-argentina
760431,2026-06-17T04:00Z,120,Austria,Jordan,Austria vs Jordan,Jordan at Austria,JOR @ AUT,Levi's Stadium,"Santa Clara, California",USA,"FS1, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760431/jordan-austria
760435,2026-06-17T17:00Z,120,Portugal,Congo DR,Portugal vs Congo DR,Congo DR at Portugal,COD @ POR,NRG Stadium,"Houston, Texas",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760435/congo-dr-portugal
760437,2026-06-17T20:00Z,120,England,Croatia,England vs Croatia,Croatia at England,CRO @ ENG,AT&T Stadium,"Arlington, Texas",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760437/croatia-england
760434,2026-06-17T23:00Z,120,Ghana,Panama,Ghana vs Panama,Panama at Ghana,PAN @ GHA,BMO Field,Toronto,Canada,"FS1, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760434/panama-ghana
